,Year_0,row_id,train3_0
411,2022,2022_317,die wir anbieten
415,2022,2022_321,python
416,2022,2022_321,cybersecurity
417,2022,2022_321,machine learning
418,2022,2022_321,stem gender initiatives
419,2022,2022_321,carpentries
425,2022,2022_327,phd courses
426,2022,2022_327,competence development for researchers
427,2022,2022_327,user introductions to specific platforms
428,2022,2022_328,i am teaching here
429,2022,2022_328,there everyday in my job
430,2022,2022_328,i post on dev
431,2022,2022_328,i post in my blog.
432,2022,2022_328,local university
433,2022,2022_329,carpentries
434,2022,2022_329,interne workshops
436,2022,2022_330,carpentries
437,2022,2022_330,discipline specific initiatives. 
444,2022,2022_337,local university
446,2022,2022_339,formation continue 
447,2022,2022_340,local university
448,2022,2022_340,cecam flagship school
449,2022,2022_341,onsite training
450,2022,2022_341,training videos
451,2022,2022_341,preparation of course materials
456,2022,2022_346,carpentries
463,2022,2022_352,carpentries
464,2022,2022_352,carpentries
465,2022,2022_352,data accelerator
471,2022,2022_357,carpentries
472,2022,2022_357, local summer students training
473,2022,2022_357,conference tutorials
474,2022,2022_358,carpentries
475,2022,2022_358,local institute training
481,2022,2022_363,gelegentlich universitaere kurse
485,2022,2022_367,feldkurs hydrogeologie
486,2022,2022_367,klimatologie
487,2022,2022_367,der universität
489,2022,2022_369,programme local
490,2022,2022_370,lehrgang an universitaet
494,2022,2022_374,university training
495,2022,2022_375,carpentries
496,2022,2022_376,winter schools
497,2022,2022_376,summer schools
504,2022,2022_383,local university
505,2022,2022_384,simtech training
506,2022,2022_385,carpentries
507,2022,2022_385,local university
511,2022,2022_389,local
513,2022,2022_391,local university
514,2022,2022_392,local training
515,2022,2022_392,abroad training
517,2022,2022_394,carpentries
518,2022,2022_395,software engineering with python
519,2022,2022_395,carpentries
522,2022,2022_398,local training
524,2022,2022_400,carpentries
525,2022,2022_401,online
526,2022,2022_401,conference tutorials
531,2022,2022_406,lehrgänge im rahmen von fortbildungsveranstaltungen in großen forstbetrieben und in waldbesitzenden kommunen
539,2022,2022_413,gruppeninterne workshops
540,2022,2022_414,local university
542,2022,2022_416,carpentries
543,2022,2022_416,code in place
544,2022,2022_416,university workshops
546,2022,2022_418,no specific programme
549,2022,2022_421,university training
551,2022,2022_423,lehrgang an universitäten
552,2022,2022_424,university workshops
554,2022,2022_426,local university
556,2022,2022_428,in house
557,2022,2022_428,nz climate modelling
558,2022,2022_428,carpentries
559,2022,2022_429,local university
560,2022,2022_429,genomics aotearoa
565,2022,2022_434,carpentries
570,2022,2022_439,informal
572,2022,2022_441,carpentries
573,2022,2022_441,carpentries
574,2022,2022_441,teaching philosophy)
576,2022,2022_443,enccs
578,2022,2022_445,university graduate school program
580,2022,2022_447,carpentries
583,2022,2022_450,carpentries
584,2022,2022_450,unikurs
586,2022,2022_452,enccs training
587,2022,2022_453,local university
588,2022,2022_454,r applications
589,2022,2022_454,courses
590,2022,2022_454,workshops
593,2022,2022_457,carpentries
594,2022,2022_457,university lecturer on programming
595,2022,2022_458,local university
596,2022,2022_459,carpentries
598,2022,2022_460,carpentries
599,2022,2022_461,carpentries
602,2022,2022_464,carpentries
604,2022,2022_466,carpentries
605,2022,2022_466,coderefinery
607,2022,2022_468,carpentries
608,2022,2022_469,carpentries
614,2022,2022_475,carpentries
615,2022,2022_475,local university
618,2022,2022_478,carpentries
619,2022,2022_478,coderefinery
620,2022,2022_478,local university
623,2022,2022_480,local university
624,2022,2022_481,carpentries
626,2022,2022_483,local department training
627,2022,2022_484,carpentries
628,2022,2022_484,local university
632,2022,2022_487,sovelto proskills
633,2022,2022_487,csc finland
634,2022,2022_487,microsoft fundamentals
639,2022,2022_492,kleine workshops im rahmen unserer arbeitsgruppe
641,2022,2022_494,carpentries
642,2022,2022_494,local university
643,2022,2022_495,carpentries
649,2022,2022_501,carpentries
650,2022,2022_502,local training
664,2022,2022_514,local university
665,2022,2022_514,formerly university teaching
667,2022,2022_516,local university
668,2022,2022_516,coderefinery
671,2022,2022_519,carpentries
672,2022,2022_519,local university
673,2022,2022_520,carpentries
674,2022,2022_521,local university
676,2022,2022_523,carpentries
677,2022,2022_523,local training
678,2022,2022_524,einführung in die nutzung unserer hauptsoftware 
679,2022,2022_525,carpentries
680,2022,2022_525,coderefinery
681,2022,2022_525,technical workshops offered at the institution
682,2022,2022_526,european project training
688,2022,2022_531,carpentries
690,2022,2022_533,local university
691,2022,2022_534,carpentries
692,2022,2022_534,local university
694,2022,2022_535,carpentries
696,2022,2022_535,itil training
699,2022,2022_538,carpentries
700,2022,2022_538,network based training
702,2022,2022_540,linked pasts activities
705,2022,2022_543,carpentries
706,2022,2022_544,carpentries
711,2022,2022_548,aufbau von vorlesung autonomous driving
712,2022,2022_549,workshops
713,2022,2022_549,lehrgang an universität
714,2022,2022_549,vorträge 
718,2022,2022_552,ictp school on hpc
722,2022,2022_556,carpentries
723,2022,2022_556,university digital scholarship training
724,2022,2022_557,programmierübung zur vorlesung
727,2022,2022_559,conference tutorials
731,2022,2022_563,training courses for users of my own software
732,2022,2022_564,hpc
736,2022,2022_568,informal
739,2022,2022_571,virtual observatory standards
740,2022,2022_572,carpentries
741,2022,2022_573,conference tutorials
745,2022,2022_577,local university
747,2022,2022_579,carpentries
749,2022,2022_581,university summer schools
750,2022,2022_582,university courses
754,2022,2022_585,training programme to use the software we write (hosted locally
758,2022,2022_588,carpentries
759,2022,2022_588,master program training
761,2022,2022_589,workshops auf konferenzen
762,2022,2022_589,workshops am institut
767,2022,2022_594,lehrgang an universitäten
768,2022,2022_594,interne weiterbildungen
771,2022,2022_597,local training
772,2022,2022_597,within group or university
777,2022,2022_602,carpentries
778,2022,2022_602,imperial college grad school
779,2022,2022_603,custom
780,2022,2022_604,conference tutorials
790,2022,2022_614,ibm developers
791,2022,2022_615,local university
797,2022,2022_621,lehrgang an universitäten
798,2022,2022_621, (summer) schools
799,2022,2022_621,interne schulungen
800,2022,2022_622,conference tutorials
802,2022,2022_624,university master courses plus courses organised by scientific associations
803,2022,2022_625,institute wide lectures on projects that we are involved in
804,2022,2022_625,architecture team events
813,2022,2022_633,carpentries
814,2022,2022_634,carpentries
818,2022,2022_637,python
820,2022,2022_639,machine learning
821,2022,2022_640,carpentries
824,2022,2022_643,carpentries
826,2022,2022_645,carpentries
832,2022,2022_651,local training
833,2022,2022_651,invited teacher summer schools 
835,2022,2022_653,local training
836,2022,2022_653,hifis
838,2022,2022_655,programmierkurse im haus
841,2022,2022_658,program developed by own software project
842,2022,2022_659,lehrgang an universitäten
843,2022,2022_660,uni kurse
848,2022,2022_665,lehrgänge an universität
859,2022,2022_676,lehrgang an universitäten
862,2022,2022_678,local university
864,2022,2022_680,local university
866,2022,2022_680,global institutions
867,2022,2022_680,elixir
868,2022,2022_681,operations of our software systems.
871,2022,2022_683,research data science courses
876,2022,2022_688,carpentries
879,2022,2022_691,coderefinery
880,2022,2022_691,local university
882,2022,2022_693,local training
883,2022,2022_694,coderefinery
884,2022,2022_694,carpentries
885,2022,2022_695,coderefinery
886,2022,2022_695,local university
887,2022,2022_696,helmholtz gpu hackathon
889,2022,2022_698,local training
890,2022,2022_698,project hackathons
892,2022,2022_699,gpu programming
893,2022,2022_699,profiling tools
896,2022,2022_702,local trainig
898,2022,2022_702,hackathons
902,2022,2022_706,carpentries
903,2022,2022_706,local university
907,2022,2022_708,einzelne vorträge in lehrveranstaltungen
910,2022,2022_710,carpentries
912,2022,2022_712,hackathon
914,2022,2022_714,typically provide ad hoc training
915,2022,2022_714,carpentries
919,2022,2022_718,local research unit training
923,2022,2022_722,übung/tutorial zu masterkurs an universität
924,2022,2022_722,workshop zur selbst entwickelten software
926,2022,2022_724,coderefinery
929,2022,2022_727,lab group training
932,2022,2022_730,new system briefing
933,2022,2022_730,ecp annual meeting tutorials
937,2022,2022_734,local courses
939,2022,2022_736,carpentries
940,2022,2022_736,carpentries
944,2022,2022_739,local university
947,2022,2022_740,conference tutorials
948,2022,2022_740,writing training materials
949,2022,2022_740,conference tutorials
950,2022,2022_740,direct mentoring
955,2022,2022_745,carpentries
956,2022,2022_745,local university
957,2022,2022_746,ad hoc training
958,2022,2022_747,carpentries
961,2022,2022_750,project workshops
965,2022,2022_754,local university
968,2022,2022_757,user training at nersc
969,2022,2022_757,exascale computing project training events
978,2022,2022_766,carpentries
979,2022,2022_767,carpentries
980,2022,2022_767,local group/institute training
983,2022,2022_769,programmierpraktika für studenten
984,2022,2022_770,"local lectures,global"
985,2022,2022_770,embo courses
986,2022,2022_770,neubias
988,2022,2022_771,online
989,2022,2022_772,university teaching
990,2022,2022_773,workshops
997,2022,2022_780,software engineering workshops
1003,2022,2022_786,carpentries
1004,2022,2022_786,resbaz
1008,2022,2022_790,carpentries
1009,2022,2022_790,local institution
1010,2022,2022_790,state based consortium
1012,2022,2022_791,local institution training
1013,2022,2022_791,university training
1016,2022,2022_794,carpentries
1018,2022,2022_796,gradtubs
1019,2022,2022_796,musen
1022,2022,2022_799,open source project support & training
1025,2022,2022_802,carpentries
1026,2022,2022_802,research group workshops
1027,2022,2022_802,my team also offers workshops
1028,2022,2022_803,local
1029,2022,2022_804,lehre
1032,2022,2022_807,university (msc lectures)
1034,2022,2022_809,carpentries
1035,2022,2022_809,carpentries
1036,2022,2022_809,local training
1037,2022,2022_810,no formal training
1041,2022,2022_813,carpentries
1042,2022,2022_813,local university
1043,2022,2022_814,nvidia deep learning institute
1044,2022,2022_815,local university
1045,2022,2022_816,carpentries
1048,2022,2022_819,formation au sein de l'université 
1049,2022,2022_820,informal
1050,2022,2022_820,phd students
1051,2022,2022_820,masters students within research group.
1052,2022,2022_821,coderefinery
1053,2022,2022_821,introduction to deep learning
1054,2022,2022_821,parallel python
1055,2022,2022_821,containerization with docker
1057,2022,2022_823,closed user demos
1063,2022,2022_829,local university
1064,2022,2022_830,carpentries
1065,2022,2022_830,coderefinery
1075,2022,2022_840,carpentries
1076,2022,2022_840,centre for doctoral training
1077,2022,2022_840,local university
1080,2022,2022_843,carpentries
1086,2022,2022_849,carpentries
1087,2022,2022_849,locally run courses up to msc level
1088,2022,2022_850,local
1089,2022,2022_851,local training
1093,2022,2022_855,user training activities in local
1094,2022,2022_855,abroad workshops
1102,2022,2022_863,a lecture on using git for masters students in the dept. of psychology
1103,2022,2022_864,local university
1104,2022,2022_865,local (within group)
1106,2022,2022_867,carpentries
1108,2022,2022_869,local
1111,2022,2022_872,local university
1112,2022,2022_872,specific workshops
1123,2022,2022_883,institute training
1124,2022,2022_883,nvidia deep learning institute
1125,2022,2022_884,local university
1126,2022,2022_885,teaching other users how my code works
1128,2022,2022_887,programming lecture course
1129,2022,2022_887,carpentries
1130,2022,2022_888,local university
1133,2022,2022_891,hsf
1134,2022,2022_891,carpentries
1135,2022,2022_891,local university
1136,2022,2022_892,carpentries
1138,2022,2022_894,local university
1139,2022,2022_895,local university
1140,2022,2022_896,local university
1144,2022,2022_899,carpentries
1145,2022,2022_899,bitss 
1152,2022,2022_905,carpentries
1153,2022,2022_906,online
1154,2022,2022_907,organisation training
1155,2022,2022_908,miscellaneous
1158,2022,2022_908,readings
1161,2022,2022_911,local institute training
1165,2022,2022_915,carpentries
1166,2022,2022_915,local training
1172,2022,2022_919,keinen
1173,2022,2022_920,carpentries
1174,2022,2022_920,carpentries
1177,2022,2022_922,machine learning
1179,2022,2022_924,workshops
1182,2022,2022_927,dh downunder
1183,2022,2022_927,various dh workshops hosted by universities. creating online
1184,2022,2022_927,guides for our website.
1185,2022,2022_928,carpentries
1186,2022,2022_928,local university
1188,2022,2022_930,lehrgang an universitäten
1189,2022,2022_931,ausbildung referendare
1190,2022,2022_931,ausbildung anwärter
1191,2022,2022_931,schulungen von betrieben
1192,2022,2022_931,interne fortbildungen
1195,2022,2022_933,institutseigene workshopreihe
1198,2022,2022_936,hacky hour
1200,2022,2022_938,post grad training
1201,2022,2022_938,undergrad teaching. 
1203,2022,2022_940,local university
1204,2022,2022_940,governement institute training
1207,2022,2022_943,local university
1208,2022,2022_944,local department training
1209,2022,2022_945,carpentries
1210,2022,2022_945,local university
1211,2022,2022_946,parallel programming
1212,2022,2022_947,local university
1214,2022,2022_949,local university
1219,2022,2022_954,galaxy training network
1221,2022,2022_956,local m.sc. in software engineering
1222,2022,2022_956,local researcher training
1223,2022,2022_956,local summer school
1227,2022,2022_959,carpentries
1228,2022,2022_959,local university
1229,2022,2022_960,local university
1232,2022,2022_963,git
1233,2022,2022_963,r
1234,2022,2022_963,python
1235,2022,2022_963,gis
1236,2022,2022_963,einführung
1238,2022,2022_963,spezialwissen
1241,2022,2022_966,carpentries
1242,2022,2022_966,local university
1243,2022,2022_967,recurring school for the main software i develop
1244,2022,2022_968,softare
1245,2022,2022_968,carpentries
1246,2022,2022_968,training on how to use the sofware we develop
1249,2022,2022_971,carpentries
1250,2022,2022_971,nvidia
1251,2022,2022_972,master in hydrology
1253,2022,2022_972,both uni freiburg
1257,2022,2022_976,local university
1260,2022,2022_979,local university
1262,2022,2022_981,teaching r tidyverse
1269,2022,2022_988,informal
1271,2022,2022_990,turing rse
1272,2022,2022_990,rds courses
1273,2022,2022_991,konferenzworkshops
1274,2022,2022_991,summerschools
1275,2022,2022_991,hochschullehre
1276,2022,2022_991,onlinkurse
1279,2022,2022_994,lehrgang an universitäten
1281,2022,2022_996,local center/university training
1282,2022,2022_996,"cyberambassadors,"
1283,2022,2022_997,universität workshops tu braunschweig
1284,2022,2022_998,local center/university training
1285,2022,2022_998,cyberambassadors
1287,2022,2022_999,carpentries
1288,2022,2022_999,courses run by institution
