,Year_0,row_id,open3de_0
476,2022,2022_445,zenodo
477,2022,2022_446,zenodo
478,2022,2022_447,zenodo
480,2022,2022_449,zenodo
481,2022,2022_450,zenodo
483,2022,2022_452,zenodo
485,2022,2022_454,zenodo
489,2022,2022_457,effectively local library)
491,2022,2022_459,zenodo
493,2022,2022_461,local library
499,2022,2022_467,zenodo
501,2022,2022_469,zenodo
507,2022,2022_475,zenodo
512,2022,2022_480,zenodo
513,2022,2022_481,zenodo
516,2022,2022_484,local library
518,2022,2022_484,pangea) and zenodo
520,2022,2022_486,zenodo
522,2022,2022_486,know better now)
523,2022,2022_487,zenodo
528,2022,2022_492,zenodo
529,2022,2022_493,zenodo
531,2022,2022_495,zenodo
537,2022,2022_501,zenodo
538,2022,2022_502,zenodo
547,2022,2022_511,zenodo
550,2022,2022_514,zenodo
551,2022,2022_514,local library
554,2022,2022_516,zenodo
556,2022,2022_518,zenodo
557,2022,2022_519,zenodo
559,2022,2022_521,zenodo
562,2022,2022_524,zenodo
563,2022,2022_524,rodare
564,2022,2022_525,zenodo or mendeley
565,2022,2022_526,zenodo
566,2022,2022_527,zenodo
568,2022,2022_529,osti
573,2022,2022_534,zenodo
574,2022,2022_535,edinburgh datashare
575,2022,2022_535,zenodo
578,2022,2022_538,figshare.com
579,2022,2022_538,zenodo.org and local library
580,2022,2022_539,zenodo
581,2022,2022_540,zenodo
583,2022,2022_542,doe code
584,2022,2022_542,zenodo
585,2022,2022_543,zenodo
586,2022,2022_544,zenodo
588,2022,2022_546,figshare
591,2022,2022_549,zenodo
600,2022,2022_558,open science framework
601,2022,2022_558,zenodo
602,2022,2022_559,zenodo
611,2022,2022_568,zenodo
613,2022,2022_570,zenodo
614,2022,2022_571,zenodo
617,2022,2022_573,zenodo
620,2022,2022_576,zenodo
623,2022,2022_579,zenodo
625,2022,2022_581,zenodo
629,2022,2022_585,zenodo
632,2022,2022_588,zenodo
633,2022,2022_588,figshare
635,2022,2022_588,via figshare too)
636,2022,2022_589,osf
637,2022,2022_589,https://osf.io/)
638,2022,2022_590,zenodo
639,2022,2022_591,zenodo
641,2022,2022_593,zenodo
642,2022,2022_594,zenodo
644,2022,2022_596,zenodo
649,2022,2022_601,zenodo
650,2022,2022_602,zenodo
651,2022,2022_603,zenodo
665,2022,2022_617,zenodo
666,2022,2022_617,dataverse
667,2022,2022_617,keeper
669,2022,2022_619,zenodo
670,2022,2022_620,open science foundation
671,2022,2022_620,osf)
673,2022,2022_622,dataverse
675,2022,2022_624,zenodo
679,2022,2022_627,local library
680,2022,2022_627,tind)
684,2022,2022_631,zenodo
686,2022,2022_633,bibliothek vor ort
687,2022,2022_634,bibliothek vor ort
690,2022,2022_637,zenodo
691,2022,2022_637,joss
693,2022,2022_639,gfz data services
695,2022,2022_641,zenodo
696,2022,2022_642,zenodo
702,2022,2022_648,zenodo
703,2022,2022_649,zenodo
705,2022,2022_651,zenodo
706,2022,2022_652,zenodo
709,2022,2022_655,zenodo
712,2022,2022_658,zenodo
720,2022,2022_666,zenodo
722,2022,2022_668,zenodo
724,2022,2022_670,zenodo
727,2022,2022_673,google scholar
728,2022,2022_673,mendeley
736,2022,2022_680,local library
737,2022,2022_680,zenodo
738,2022,2022_680,figshare
740,2022,2022_681,local
742,2022,2022_683,zenodo
746,2022,2022_687,zenodo
747,2022,2022_688,bibliothek
748,2022,2022_689,gfz data sciences
749,2022,2022_690,zenodo
750,2022,2022_690,local library
751,2022,2022_691,zenodo
754,2022,2022_694,zenodo
755,2022,2022_695,zenodo
758,2022,2022_698,zenodo
759,2022,2022_698,local library
760,2022,2022_699,zenodo
762,2022,2022_701,zenodo
763,2022,2022_702,zenodo
764,2022,2022_702,fighsare
768,2022,2022_706,zenodo
771,2022,2022_709,zenoda
772,2022,2022_710,library
774,2022,2022_712,zenodo
779,2022,2022_717,zenodo 
780,2022,2022_718,zenodo
785,2022,2022_723,zenodo
786,2022,2022_724,zenodo
787,2022,2022_725,zenodo
788,2022,2022_726,zenodo
790,2022,2022_726,very new)
791,2022,2022_727,zenodo
792,2022,2022_728,zenodo
794,2022,2022_730,zenodo
797,2022,2022_733,zenodo
800,2022,2022_736,zenodo
803,2022,2022_738,zenodo
804,2022,2022_739,zenodo
805,2022,2022_740,zenodo
806,2022,2022_740,joss
808,2022,2022_742,zenodo
811,2022,2022_745,zenodo
812,2022,2022_746,zenodo
818,2022,2022_752,zenodo
823,2022,2022_757,zenodo
826,2022,2022_760,zenodo
831,2022,2022_765,zenodo
833,2022,2022_766,darus
836,2022,2022_767,zenodo
837,2022,2022_768,gfz data services/fid geo
838,2022,2022_768,zenodo
839,2022,2022_769,zenodo
840,2022,2022_770,zenodo
843,2022,2022_773,zenodo
845,2022,2022_775,zenodo
847,2022,2022_777,bibliothek vor ort
848,2022,2022_777,zenodo)
852,2022,2022_781,zenodo
853,2022,2022_782,bibliothek
857,2022,2022_786,pure
860,2022,2022_789,zenodo
861,2022,2022_790,local library
862,2022,2022_791,zenodo
863,2022,2022_791,osf
866,2022,2022_794,local library
871,2022,2022_799,zenodo
875,2022,2022_803,zenodo
876,2022,2022_804,zotero
877,2022,2022_805,zenodo
880,2022,2022_808,zenodo
885,2022,2022_813,zenodo
886,2022,2022_814,zenodo
888,2022,2022_816,zenodo
889,2022,2022_817,zenodo
890,2022,2022_818,local system
893,2022,2022_821,zenodo
894,2022,2022_822,zenodo
902,2022,2022_830,zenodo
908,2022,2022_836,zenodo
912,2022,2022_840,zenodo
922,2022,2022_850,zenodo
923,2022,2022_851,zenodo
924,2022,2022_852,zenodo
926,2022,2022_854,zenodo
927,2022,2022_855,zenodo
928,2022,2022_856,zenodo
929,2022,2022_857,figshare
935,2022,2022_863,scicrunch
936,2022,2022_864,zenodo
937,2022,2022_865,zenodo
939,2022,2022_867,zenodo
941,2022,2022_869,zenodo
959,2022,2022_887,zenodo
960,2022,2022_888,zenodo
963,2022,2022_891,zenodo
964,2022,2022_892,zenodo
971,2022,2022_899,local library
972,2022,2022_899,zenodo
973,2022,2022_900,zenodo
976,2022,2022_901,zenodo
979,2022,2022_904,zenodo
983,2022,2022_908,zenodo
986,2022,2022_911,zenodo
992,2022,2022_917,zenodo
995,2022,2022_920,zenodo
997,2022,2022_921,osf
999,2022,2022_923,zenodo
1001,2022,2022_925,zenodo
1005,2022,2022_928,zenodo
1007,2022,2022_930,zenodo
1008,2022,2022_930,unibibliothek
1009,2022,2022_931,zenodo
1011,2022,2022_933,zenodo
1014,2022,2022_936,zenodo
1015,2022,2022_937,zenodo
1019,2022,2022_941,zenodo
1021,2022,2022_943,zenodo
1024,2022,2022_946,zenodo
1025,2022,2022_947,zenodo
1032,2022,2022_954,zenodo
1034,2022,2022_956,zenodo
1037,2022,2022_958,pip
1038,2022,2022_958,conda
1039,2022,2022_958,local library
1040,2022,2022_959,zenodo
1044,2022,2022_963,bibliothek
1051,2022,2022_970,zenodo
1052,2022,2022_970,figshare
1053,2022,2022_971,zenodo
1061,2022,2022_979,zenodo
1062,2022,2022_980,zenodo
1070,2022,2022_988,zenodo
1072,2022,2022_990,zenodo
1073,2022,2022_991,softwarepaper
1076,2022,2022_994,bibliothek vor ort
1077,2022,2022_994,zenodo
1079,2022,2022_996,zenodo
1080,2022,2022_997,publikationsserver bibliothek tu braunschweig
1081,2022,2022_998,zenodo
1082,2022,2022_999,zenodo
