,Year_0,row_id,org2can
0,2022,2022_0,Networking
1,2022,2022_3,Networking
2,2022,2022_9,Networking
3,2022,2022_12,Networking
4,2022,2022_13,Networking
5,2022,2022_14,Networking
6,2022,2022_15,Networking
7,2022,2022_16,Networking
8,2022,2022_17,Networking
9,2022,2022_21,Networking
10,2022,2022_22,Networking
11,2022,2022_23,Networking
12,2022,2022_25,Networking
13,2022,2022_26,Networking
14,2022,2022_28,Networking
15,2022,2022_29,Networking
16,2022,2022_30,Networking
17,2022,2022_32,Networking
18,2022,2022_33,Networking
19,2022,2022_35,Networking
20,2022,2022_40,Networking
21,2022,2022_41,Networking
22,2022,2022_43,Networking
23,2022,2022_44,Networking
24,2022,2022_45,Networking
25,2022,2022_46,Networking
26,2022,2022_47,Networking
27,2022,2022_48,Networking
28,2022,2022_49,Networking
29,2022,2022_51,Networking
30,2022,2022_52,Networking
31,2022,2022_53,Networking
32,2022,2022_54,Networking
33,2022,2022_55,Networking
34,2022,2022_57,Networking
35,2022,2022_60,Networking
36,2022,2022_61,Networking
37,2022,2022_62,Networking
38,2022,2022_63,Networking
39,2022,2022_64,Networking
40,2022,2022_65,Networking
41,2022,2022_66,Networking
42,2022,2022_67,Networking
43,2022,2022_69,Networking
44,2022,2022_70,Networking
45,2022,2022_71,Networking
46,2022,2022_72,Networking
47,2022,2022_73,Networking
48,2022,2022_74,Networking
49,2022,2022_75,Networking
50,2022,2022_76,Networking
51,2022,2022_77,Networking
52,2022,2022_79,Networking
53,2022,2022_81,Networking
54,2022,2022_82,Networking
55,2022,2022_84,Networking
56,2022,2022_86,Networking
57,2022,2022_89,Networking
58,2022,2022_90,Networking
59,2022,2022_92,Networking
60,2022,2022_94,Networking
61,2022,2022_95,Networking
62,2022,2022_98,Networking
63,2022,2022_103,Networking
64,2022,2022_106,Networking
65,2022,2022_107,Networking
66,2022,2022_108,Networking
67,2022,2022_109,Networking
68,2022,2022_114,Networking
69,2022,2022_116,Networking
70,2022,2022_117,Networking
71,2022,2022_118,Networking
72,2022,2022_122,Networking
73,2022,2022_123,Networking
74,2022,2022_125,Networking
75,2022,2022_128,Networking
76,2022,2022_132,Networking
77,2022,2022_133,Networking
78,2022,2022_134,Networking
79,2022,2022_139,Networking
80,2022,2022_140,Networking
81,2022,2022_143,Networking
82,2022,2022_155,Networking
83,2022,2022_156,Networking
84,2022,2022_160,Networking
85,2022,2022_162,Networking
86,2022,2022_164,Networking
87,2022,2022_165,Networking
88,2022,2022_167,Networking
89,2022,2022_168,Networking
90,2022,2022_169,Networking
91,2022,2022_170,Networking
92,2022,2022_171,Networking
93,2022,2022_172,Networking
94,2022,2022_177,Networking
95,2022,2022_178,Networking
96,2022,2022_179,Networking
97,2022,2022_182,Networking
98,2022,2022_183,Networking
99,2022,2022_184,Networking
100,2022,2022_189,Networking
101,2022,2022_192,Networking
102,2022,2022_194,Networking
103,2022,2022_202,Networking
104,2022,2022_204,Networking
105,2022,2022_206,Networking
106,2022,2022_208,Networking
107,2022,2022_209,Networking
108,2022,2022_210,Networking
109,2022,2022_214,Networking
110,2022,2022_215,Networking
111,2022,2022_218,Networking
112,2022,2022_220,Networking
113,2022,2022_221,Networking
114,2022,2022_222,Networking
115,2022,2022_223,Networking
116,2022,2022_224,Networking
117,2022,2022_225,Networking
118,2022,2022_226,Networking
119,2022,2022_227,Networking
120,2022,2022_228,Networking
121,2022,2022_229,Networking
122,2022,2022_231,Networking
123,2022,2022_232,Networking
124,2022,2022_234,Networking
125,2022,2022_235,Networking
126,2022,2022_236,Networking
127,2022,2022_240,Networking
128,2022,2022_241,Networking
129,2022,2022_243,Networking
130,2022,2022_247,Networking
131,2022,2022_252,Networking
132,2022,2022_255,Networking
133,2022,2022_260,Networking
134,2022,2022_264,Networking
135,2022,2022_265,Networking
136,2022,2022_266,Networking
137,2022,2022_267,Networking
138,2022,2022_268,Networking
139,2022,2022_271,Networking
140,2022,2022_274,Networking
141,2022,2022_276,Networking
142,2022,2022_278,Networking
143,2022,2022_282,Networking
144,2022,2022_285,Networking
145,2022,2022_286,Networking
146,2022,2022_289,Networking
147,2022,2022_291,Networking
148,2022,2022_292,Networking
149,2022,2022_293,Networking
150,2022,2022_294,Networking
151,2022,2022_296,Networking
152,2022,2022_299,Networking
153,2022,2022_308,Networking
154,2022,2022_313,Networking
155,2022,2022_316,Networking
156,2022,2022_317,Networking
157,2022,2022_320,Networking
158,2022,2022_321,Networking
159,2022,2022_325,Networking
160,2022,2022_327,Networking
161,2022,2022_329,Networking
162,2022,2022_330,Networking
163,2022,2022_333,Networking
164,2022,2022_337,Networking
165,2022,2022_338,Networking
166,2022,2022_341,Networking
167,2022,2022_342,Networking
168,2022,2022_346,Networking
169,2022,2022_352,Networking
170,2022,2022_353,Networking
171,2022,2022_354,Networking
172,2022,2022_357,Networking
173,2022,2022_359,Networking
174,2022,2022_362,Networking
175,2022,2022_363,Networking
176,2022,2022_372,Networking
177,2022,2022_375,Networking
178,2022,2022_376,Networking
179,2022,2022_378,Networking
180,2022,2022_379,Networking
181,2022,2022_381,Networking
182,2022,2022_383,Networking
183,2022,2022_384,Networking
184,2022,2022_385,Networking
185,2022,2022_386,Networking
186,2022,2022_391,Networking
187,2022,2022_392,Networking
188,2022,2022_393,Networking
189,2022,2022_394,Networking
190,2022,2022_395,Networking
191,2022,2022_396,Networking
192,2022,2022_397,Networking
193,2022,2022_398,Networking
194,2022,2022_401,Networking
195,2022,2022_403,Networking
196,2022,2022_404,Networking
197,2022,2022_405,Networking
198,2022,2022_410,Networking
199,2022,2022_411,Networking
200,2022,2022_412,Networking
201,2022,2022_413,Networking
202,2022,2022_414,Networking
203,2022,2022_415,Networking
204,2022,2022_418,Networking
205,2022,2022_421,Networking
206,2022,2022_422,Networking
207,2022,2022_423,Networking
208,2022,2022_425,Networking
209,2022,2022_428,Networking
210,2022,2022_429,Networking
211,2022,2022_431,Networking
212,2022,2022_433,Networking
213,2022,2022_434,Networking
214,2022,2022_436,Networking
215,2022,2022_439,Networking
216,2022,2022_440,Networking
217,2022,2022_441,Networking
218,2022,2022_442,Networking
219,2022,2022_445,Networking
220,2022,2022_446,Networking
221,2022,2022_449,Networking
222,2022,2022_450,Networking
223,2022,2022_452,Networking
224,2022,2022_453,Networking
225,2022,2022_456,Networking
226,2022,2022_457,Networking
227,2022,2022_459,Networking
228,2022,2022_466,Networking
229,2022,2022_467,Networking
230,2022,2022_468,Networking
231,2022,2022_469,Networking
232,2022,2022_473,Networking
233,2022,2022_474,Networking
234,2022,2022_475,Networking
235,2022,2022_479,Networking
236,2022,2022_480,Networking
237,2022,2022_481,Networking
238,2022,2022_483,Networking
239,2022,2022_484,Networking
240,2022,2022_486,Networking
241,2022,2022_487,Networking
242,2022,2022_492,Networking
243,2022,2022_493,Networking
244,2022,2022_494,Networking
245,2022,2022_495,Networking
246,2022,2022_497,Networking
247,2022,2022_498,Networking
248,2022,2022_499,Networking
249,2022,2022_501,Networking
250,2022,2022_502,Networking
251,2022,2022_504,Networking
252,2022,2022_505,Networking
253,2022,2022_510,Networking
254,2022,2022_515,Networking
255,2022,2022_516,Networking
256,2022,2022_519,Networking
257,2022,2022_520,Networking
258,2022,2022_521,Networking
259,2022,2022_524,Networking
260,2022,2022_525,Networking
261,2022,2022_529,Networking
262,2022,2022_530,Networking
263,2022,2022_531,Networking
264,2022,2022_533,Networking
265,2022,2022_534,Networking
266,2022,2022_535,Networking
267,2022,2022_538,Networking
268,2022,2022_539,Networking
269,2022,2022_540,Networking
270,2022,2022_542,Networking
271,2022,2022_543,Networking
272,2022,2022_544,Networking
273,2022,2022_549,Networking
274,2022,2022_552,Networking
275,2022,2022_556,Networking
276,2022,2022_559,Networking
277,2022,2022_561,Networking
278,2022,2022_562,Networking
279,2022,2022_563,Networking
280,2022,2022_568,Networking
281,2022,2022_569,Networking
282,2022,2022_570,Networking
283,2022,2022_571,Networking
284,2022,2022_573,Networking
285,2022,2022_576,Networking
286,2022,2022_577,Networking
287,2022,2022_581,Networking
288,2022,2022_582,Networking
289,2022,2022_585,Networking
290,2022,2022_588,Networking
291,2022,2022_589,Networking
292,2022,2022_590,Networking
293,2022,2022_591,Networking
294,2022,2022_595,Networking
295,2022,2022_596,Networking
296,2022,2022_599,Networking
297,2022,2022_600,Networking
298,2022,2022_602,Networking
299,2022,2022_606,Networking
300,2022,2022_610,Networking
301,2022,2022_616,Networking
302,2022,2022_617,Networking
303,2022,2022_619,Networking
304,2022,2022_620,Networking
305,2022,2022_621,Networking
306,2022,2022_622,Networking
307,2022,2022_626,Networking
308,2022,2022_627,Networking
309,2022,2022_628,Networking
310,2022,2022_631,Networking
311,2022,2022_632,Networking
312,2022,2022_637,Networking
313,2022,2022_638,Networking
314,2022,2022_639,Networking
315,2022,2022_642,Networking
316,2022,2022_645,Networking
317,2022,2022_655,Networking
318,2022,2022_658,Networking
319,2022,2022_673,Networking
320,2022,2022_676,Networking
321,2022,2022_679,Networking
322,2022,2022_680,Networking
323,2022,2022_681,Networking
324,2022,2022_682,Networking
325,2022,2022_683,Networking
326,2022,2022_684,Networking
327,2022,2022_689,Networking
328,2022,2022_690,Networking
329,2022,2022_691,Networking
330,2022,2022_692,Networking
331,2022,2022_694,Networking
332,2022,2022_695,Networking
333,2022,2022_696,Networking
334,2022,2022_697,Networking
335,2022,2022_698,Networking
336,2022,2022_699,Networking
337,2022,2022_701,Networking
338,2022,2022_703,Networking
339,2022,2022_709,Networking
340,2022,2022_710,Networking
341,2022,2022_714,Networking
342,2022,2022_717,Networking
343,2022,2022_718,Networking
344,2022,2022_723,Networking
345,2022,2022_724,Networking
346,2022,2022_725,Networking
347,2022,2022_727,Networking
348,2022,2022_728,Networking
349,2022,2022_731,Networking
350,2022,2022_733,Networking
351,2022,2022_734,Networking
352,2022,2022_735,Networking
353,2022,2022_736,Networking
354,2022,2022_738,Networking
355,2022,2022_740,Networking
356,2022,2022_742,Networking
357,2022,2022_743,Networking
358,2022,2022_745,Networking
359,2022,2022_747,Networking
360,2022,2022_750,Networking
361,2022,2022_752,Networking
362,2022,2022_754,Networking
363,2022,2022_755,Networking
364,2022,2022_757,Networking
365,2022,2022_758,Networking
366,2022,2022_760,Networking
367,2022,2022_761,Networking
368,2022,2022_763,Networking
369,2022,2022_765,Networking
370,2022,2022_766,Networking
371,2022,2022_767,Networking
372,2022,2022_768,Networking
373,2022,2022_770,Networking
374,2022,2022_771,Networking
375,2022,2022_773,Networking
376,2022,2022_776,Networking
377,2022,2022_780,Networking
378,2022,2022_781,Networking
379,2022,2022_784,Networking
380,2022,2022_786,Networking
381,2022,2022_790,Networking
382,2022,2022_793,Networking
383,2022,2022_794,Networking
384,2022,2022_795,Networking
385,2022,2022_796,Networking
386,2022,2022_799,Networking
387,2022,2022_800,Networking
388,2022,2022_804,Networking
389,2022,2022_805,Networking
390,2022,2022_808,Networking
391,2022,2022_809,Networking
392,2022,2022_810,Networking
393,2022,2022_813,Networking
394,2022,2022_814,Networking
395,2022,2022_816,Networking
396,2022,2022_817,Networking
397,2022,2022_818,Networking
398,2022,2022_820,Networking
399,2022,2022_821,Networking
400,2022,2022_822,Networking
401,2022,2022_823,Networking
402,2022,2022_825,Networking
403,2022,2022_828,Networking
404,2022,2022_829,Networking
405,2022,2022_832,Networking
406,2022,2022_833,Networking
407,2022,2022_834,Networking
408,2022,2022_836,Networking
409,2022,2022_840,Networking
410,2022,2022_845,Networking
411,2022,2022_846,Networking
412,2022,2022_848,Networking
413,2022,2022_849,Networking
414,2022,2022_851,Networking
415,2022,2022_854,Networking
416,2022,2022_855,Networking
417,2022,2022_864,Networking
418,2022,2022_868,Networking
419,2022,2022_869,Networking
420,2022,2022_872,Networking
421,2022,2022_878,Networking
422,2022,2022_881,Networking
423,2022,2022_883,Networking
424,2022,2022_884,Networking
425,2022,2022_887,Networking
426,2022,2022_891,Networking
427,2022,2022_892,Networking
428,2022,2022_895,Networking
429,2022,2022_897,Networking
430,2022,2022_898,Networking
431,2022,2022_899,Networking
432,2022,2022_901,Networking
433,2022,2022_903,Networking
434,2022,2022_904,Networking
435,2022,2022_905,Networking
436,2022,2022_907,Networking
437,2022,2022_911,Networking
438,2022,2022_912,Networking
439,2022,2022_913,Networking
440,2022,2022_914,Networking
441,2022,2022_915,Networking
442,2022,2022_917,Networking
443,2022,2022_918,Networking
444,2022,2022_919,Networking
445,2022,2022_921,Networking
446,2022,2022_922,Networking
447,2022,2022_923,Networking
448,2022,2022_924,Networking
449,2022,2022_925,Networking
450,2022,2022_927,Networking
451,2022,2022_929,Networking
452,2022,2022_930,Networking
453,2022,2022_933,Networking
454,2022,2022_935,Networking
455,2022,2022_936,Networking
456,2022,2022_937,Networking
457,2022,2022_940,Networking
458,2022,2022_941,Networking
459,2022,2022_943,Networking
460,2022,2022_944,Networking
461,2022,2022_945,Networking
462,2022,2022_949,Networking
463,2022,2022_953,Networking
464,2022,2022_954,Networking
465,2022,2022_956,Networking
466,2022,2022_958,Networking
467,2022,2022_959,Networking
468,2022,2022_963,Networking
469,2022,2022_966,Networking
470,2022,2022_967,Networking
471,2022,2022_968,Networking
472,2022,2022_970,Networking
473,2022,2022_971,Networking
474,2022,2022_972,Networking
475,2022,2022_973,Networking
476,2022,2022_976,Networking
477,2022,2022_980,Networking
478,2022,2022_981,Networking
479,2022,2022_983,Networking
480,2022,2022_984,Networking
481,2022,2022_985,Networking
482,2022,2022_991,Networking
483,2022,2022_992,Networking
484,2022,2022_993,Networking
485,2022,2022_994,Networking
486,2022,2022_996,Networking
487,2022,2022_997,Networking
488,2022,2022_998,Networking
489,2022,2022_999,Networking
490,2022,2022_1000,Networking
491,2022,2022_1001,Networking
492,2022,2022_3,Research collaborations
493,2022,2022_9,Research collaborations
494,2022,2022_16,Research collaborations
495,2022,2022_17,Research collaborations
496,2022,2022_25,Research collaborations
497,2022,2022_26,Research collaborations
498,2022,2022_33,Research collaborations
499,2022,2022_43,Research collaborations
500,2022,2022_44,Research collaborations
501,2022,2022_45,Research collaborations
502,2022,2022_47,Research collaborations
503,2022,2022_53,Research collaborations
504,2022,2022_55,Research collaborations
505,2022,2022_57,Research collaborations
506,2022,2022_60,Research collaborations
507,2022,2022_61,Research collaborations
508,2022,2022_67,Research collaborations
509,2022,2022_72,Research collaborations
510,2022,2022_73,Research collaborations
511,2022,2022_76,Research collaborations
512,2022,2022_79,Research collaborations
513,2022,2022_89,Research collaborations
514,2022,2022_90,Research collaborations
515,2022,2022_94,Research collaborations
516,2022,2022_98,Research collaborations
517,2022,2022_99,Research collaborations
518,2022,2022_108,Research collaborations
519,2022,2022_117,Research collaborations
520,2022,2022_118,Research collaborations
521,2022,2022_128,Research collaborations
522,2022,2022_132,Research collaborations
523,2022,2022_133,Research collaborations
524,2022,2022_134,Research collaborations
525,2022,2022_140,Research collaborations
526,2022,2022_156,Research collaborations
527,2022,2022_159,Research collaborations
528,2022,2022_164,Research collaborations
529,2022,2022_168,Research collaborations
530,2022,2022_171,Research collaborations
531,2022,2022_172,Research collaborations
532,2022,2022_177,Research collaborations
533,2022,2022_183,Research collaborations
534,2022,2022_184,Research collaborations
535,2022,2022_189,Research collaborations
536,2022,2022_206,Research collaborations
537,2022,2022_208,Research collaborations
538,2022,2022_209,Research collaborations
539,2022,2022_214,Research collaborations
540,2022,2022_215,Research collaborations
541,2022,2022_224,Research collaborations
542,2022,2022_226,Research collaborations
543,2022,2022_227,Research collaborations
544,2022,2022_235,Research collaborations
545,2022,2022_236,Research collaborations
546,2022,2022_239,Research collaborations
547,2022,2022_247,Research collaborations
548,2022,2022_249,Research collaborations
549,2022,2022_263,Research collaborations
550,2022,2022_264,Research collaborations
551,2022,2022_265,Research collaborations
552,2022,2022_266,Research collaborations
553,2022,2022_268,Research collaborations
554,2022,2022_271,Research collaborations
555,2022,2022_274,Research collaborations
556,2022,2022_278,Research collaborations
557,2022,2022_282,Research collaborations
558,2022,2022_286,Research collaborations
559,2022,2022_289,Research collaborations
560,2022,2022_291,Research collaborations
561,2022,2022_292,Research collaborations
562,2022,2022_299,Research collaborations
563,2022,2022_317,Research collaborations
564,2022,2022_321,Research collaborations
565,2022,2022_333,Research collaborations
566,2022,2022_338,Research collaborations
567,2022,2022_342,Research collaborations
568,2022,2022_346,Research collaborations
569,2022,2022_348,Research collaborations
570,2022,2022_352,Research collaborations
571,2022,2022_353,Research collaborations
572,2022,2022_354,Research collaborations
573,2022,2022_356,Research collaborations
574,2022,2022_357,Research collaborations
575,2022,2022_359,Research collaborations
576,2022,2022_362,Research collaborations
577,2022,2022_363,Research collaborations
578,2022,2022_372,Research collaborations
579,2022,2022_375,Research collaborations
580,2022,2022_376,Research collaborations
581,2022,2022_378,Research collaborations
582,2022,2022_383,Research collaborations
583,2022,2022_384,Research collaborations
584,2022,2022_391,Research collaborations
585,2022,2022_401,Research collaborations
586,2022,2022_403,Research collaborations
587,2022,2022_405,Research collaborations
588,2022,2022_408,Research collaborations
589,2022,2022_410,Research collaborations
590,2022,2022_411,Research collaborations
591,2022,2022_413,Research collaborations
592,2022,2022_414,Research collaborations
593,2022,2022_415,Research collaborations
