,Year_0,row_id,conf2can_0
426,2022,2022_303,American Geophysical Union Fall Meeting
427,2022,2022_303,Goldschmidt
430,2022,2022_305,jtech ceph
431,2022,2022_305,jcad
432,2022,2022_306,CSMA
433,2022,2022_306,ECCOMAS Coupled conference
434,2022,2022_307,Euroscipy
435,2022,2022_307,Synchrotron radiation and Instrumentation
440,2022,2022_311,conférences
455,2022,2022_325,IPAW
456,2022,2022_325,IDCC
459,2022,2022_328,Local
463,2022,2022_329,deRSE
464,2022,2022_329,FrOSCon
468,2022,2022_331,EFMC
469,2022,2022_331,EGU
477,2022,2022_339,Workshop
479,2022,2022_340,Albert Einstein Science Park
480,2022,2022_340,Potsdam
484,2022,2022_342,WCPG
485,2022,2022_343,MDIS
487,2022,2022_345,European network workshops
488,2022,2022_345,ICPEAC
497,2022,2022_352,IFSG Conference
498,2022,2022_352,eResearch NZ
499,2022,2022_353,Transportation Research Board
504,2022,2022_358,IEEE eScience
505,2022,2022_358,IPDPS
510,2022,2022_361,EGU
512,2022,2022_363,ELIXIR Biohackathon
528,2022,2022_376,fosdem
529,2022,2022_376,plubic onderstanding of science
530,2022,2022_376,chi
531,2022,2022_376,www
533,2022,2022_376,winter schools
534,2022,2022_376,summer schools
542,2022,2022_384,SimTech conference
552,2022,2022_393,Austria; SPIE Optics + Optoelectronics
553,2022,2022_393,Czech Republic; Conference on Laser Ablation
554,2022,2022_393,Mexico; and more
555,2022,2022_394,RSE Conference
557,2022,2022_396,ESIP
558,2022,2022_396,RCOP
560,2022,2022_398,RSE
564,2022,2022_400,Invited talks
567,2022,2022_401,SciPy
568,2022,2022_401,PyConAU
573,2022,2022_405,AGU
574,2022,2022_405,EGU
575,2022,2022_405,IGARRS
576,2022,2022_405,ESIP
583,2022,2022_411,Tomography for Scientific Advancement
587,2022,2022_414,SIAM CSE
588,2022,2022_414,PyData
589,2022,2022_414,SciPy
590,2022,2022_415,American Medical Informatics Association
591,2022,2022_415,useR!
595,2022,2022_417,NOBUGS
597,2022,2022_417,American Conference on Neutron Scattering
599,2022,2022_418,project specific workshops
600,2022,2022_419,SHIM
601,2022,2022_419,ICACS
611,2022,2022_428,eResearch NZ
612,2022,2022_428,NZ Crown Research Institutes coding conference
614,2022,2022_429,PAG
619,2022,2022_434,NZRSE
620,2022,2022_434,eResearch NZ
628,2022,2022_442,Digital Humanties
629,2022,2022_442,IEEE eScience
630,2022,2022_443,PASC
631,2022,2022_443,SIAM
632,2022,2022_443, Nordic RSE conference
634,2022,2022_445,TexComp conferences
637,2022,2022_445,RSE Conference
642,2022,2022_450,German Conference on Bioinformatics (GCB)
646,2022,2022_453,European Research Consortium for Informatics and Mathematics Conference
647,2022,2022_453, European R Users Meeting
649,2022,2022_453,Joint Statistical Meetings
650,2022,2022_453,Royal Statistical Society Conference
651,2022,2022_453,Use of R in Official Statistics Conference
652,2022,2022_453,useR! Conference
654,2022,2022_454,German Group on Vegetation Plot Databases
657,2022,2022_457,The Minerals
658,2022,2022_457,Metals
659,2022,2022_457,and Materials Society
660,2022,2022_457,Materials Research Society
661,2022,2022_457,SIAM
662,2022,2022_457,SciPy
664,2022,2022_458,AGU
666,2022,2022_460,American Physical Society
669,2022,2022_462,Materials Research Society
673,2022,2022_465,TRECVID
676,2022,2022_468,GGF/OGF
679,2022,2022_469,ct.qmat Retreat
681,2022,2022_471,Fire science conferences
687,2022,2022_477,prevention of musculoskeletal disorder
690,2022,2022_479,American Astronomical Society
691,2022,2022_479,Transiting Exoplanet Survey Satelite workshops
696,2022,2022_484,eResearch
697,2022,2022_484,CODATA
698,2022,2022_484,RDA
699,2022,2022_484,EGU
700,2022,2022_484,AGU
701,2022,2022_484,AuScope
710,2022,2022_493,Brightcon
712,2022,2022_495,SeptembRSE
715,2022,2022_498,Supercomputing
719,2022,2022_502,SIAM
720,2022,2022_502,EGU
721,2022,2022_502,AGU
722,2022,2022_502,IGSOC
725,2022,2022_505,MIE
726,2022,2022_505,RSECon
727,2022,2022_505,Informatics for Health
738,2022,2022_516,OHBM
739,2022,2022_516,CuttingMEEG
742,2022,2022_519,IEEE Conference on Big Data
743,2022,2022_520,Climate Change AI at NeurIPS
744,2022,2022_521,RSE Conference
745,2022,2022_521,Digital Humanities Conference
748,2022,2022_524,DPG Frühjahrestagung
749,2022,2022_524,EAAC
750,2022,2022_524,GTC
751,2022,2022_524,LPAW
752,2022,2022_524,HEDLA
755,2022,2022_526,ECMWF HPC Workshop
760,2022,2022_530,geisteswissenschaftliche Tagungen
764,2022,2022_534,IEEE CLUSTER
766,2022,2022_535,Supercomputing
767,2022,2022_535,ISC
768,2022,2022_535,PASC
769,2022,2022_535,Cray User Group
